clid	calldate	src	dst	dcontext	channel	lastapp	billsec
84742465550	2019-11-13 06:56:37	84742465550	s	incoming	Local/s@incoming-0001111c;2	Dial	2
84742465550	2019-11-13 06:56:37	84742465550	909800	incoming	DAHDI/i1/84742465550-139d2	Dial	40
84742465550	2019-11-13 06:57:21	84742465550	s	incoming	Local/s@incoming-00011120;2	Dial	3
84742465550	2019-11-13 06:57:21	84742465550	909800	incoming	DAHDI/i1/84742465550-139d3	Dial	41
84742465550	2019-11-13 06:58:06	84742465550	s	incoming	Local/s@incoming-00011124;2	Dial	2
84742465550	2019-11-13 06:58:06	84742465550	909800	incoming	DAHDI/i1/84742465550-139d4	Dial	39
4742465550	2019-11-13 06:58:49	4742465550	s	incoming	Local/s@incoming-00011128;2	Dial	3
4742465550	2019-11-13 06:58:49	4742465550	242717	incoming	SIP/megafon-00047898	Dial	41
84742465550	2019-11-13 06:59:35	84742465550	s	incoming	Local/s@incoming-0001112c;2	Dial	2
84742465550	2019-11-13 06:59:35	84742465550	909800	incoming	DAHDI/i1/84742465550-139d5	Dial	40
84742465550	2019-11-13 07:00:19	84742465550	s	incoming	Local/s@incoming-00011130;2	Dial	2
84742465550	2019-11-13 07:00:19	84742465550	909800	incoming	DAHDI/i1/84742465550-139d6	Dial	40
84742465550	2019-11-13 07:01:03	84742465550	s	incoming	Local/s@incoming-00011134;2	Dial	2
84742465550	2019-11-13 07:01:03	84742465550	909800	incoming	DAHDI/i1/84742465550-139d7	Dial	40
84742465550	2019-11-13 07:01:46	84742465550	s	incoming	Local/s@incoming-00011138;2	Dial	2
84742465550	2019-11-13 07:01:46	84742465550	909800	incoming	DAHDI/i1/84742465550-139d9	Dial	40
4742465550	2019-11-13 07:02:31	4742465550	s	incoming	Local/s@incoming-0001113c;2	Dial	2
4742465550	2019-11-13 07:02:31	4742465550	242717	incoming	SIP/megafon-0004789f	Dial	43
84742465550	2019-11-13 07:03:19	84742465550	s	incoming	Local/s@incoming-00011140;2	Dial	2
84742465550	2019-11-13 07:03:19	84742465550	909800	incoming	DAHDI/i1/84742465550-139da	Dial	39
84742465550	2019-11-13 07:04:04	84742465550	s	incoming	Local/s@incoming-00011144;2	Dial	2
84742465550	2019-11-13 07:04:04	84742465550	909800	incoming	DAHDI/i1/84742465550-139db	Dial	39
84742465550	2019-11-13 07:04:48	84742465550	s	incoming	Local/s@incoming-00011148;2	Dial	2
84742465550	2019-11-13 07:04:48	84742465550	909800	incoming	DAHDI/i1/84742465550-139dc	Dial	40
84742465550	2019-11-13 07:05:32	84742465550	s	incoming	Local/s@incoming-0001114c;2	Dial	2
84742465550	2019-11-13 07:05:32	84742465550	909800	incoming	DAHDI/i1/84742465550-139dd	Dial	40
4742465550	2019-11-13 07:06:16	4742465550	s	incoming	Local/s@incoming-00011150;2	Dial	3
4742465550	2019-11-13 07:06:16	4742465550	242717	incoming	SIP/megafon-000478a5	Dial	40
84742465550	2019-11-13 07:07:00	84742465550	s	incoming	Local/s@incoming-00011154;2	Dial	2
84742465550	2019-11-13 07:07:00	84742465550	909800	incoming	DAHDI/i1/84742465550-139de	Dial	39
84742465550	2019-11-13 07:07:43	84742465550	s	incoming	Local/s@incoming-00011158;2	Dial	2
84742465550	2019-11-13 07:07:43	84742465550	909800	incoming	DAHDI/i1/84742465550-139df	Dial	40
84742465550	2019-11-13 07:08:26	84742465550	s	incoming	Local/s@incoming-0001115c;2	Dial	2
84742465550	2019-11-13 07:08:26	84742465550	909800	incoming	DAHDI/i1/84742465550-139e0	Dial	40
84742465550	2019-11-13 07:09:09	84742465550	s	incoming	Local/s@incoming-00011160;2	Dial	2
84742465550	2019-11-13 07:09:09	84742465550	909800	incoming	DAHDI/i1/84742465550-139e1	Dial	40
84742465550	2019-11-13 07:09:52	84742465550	s	incoming	Local/s@incoming-00011164;2	Dial	2
84742465550	2019-11-13 07:09:52	84742465550	909800	incoming	DAHDI/i1/84742465550-139e2	Dial	40
84742465550	2019-11-13 07:10:36	84742465550	s	incoming	Local/s@incoming-00011168;2	Dial	2
84742465550	2019-11-13 07:10:36	84742465550	909800	incoming	DAHDI/i1/84742465550-139e3	Dial	39
84742465550	2019-11-13 07:11:19	84742465550	s	incoming	Local/s@incoming-0001116c;2	Dial	2
84742465550	2019-11-13 07:11:19	84742465550	909800	incoming	DAHDI/i1/84742465550-139e4	Dial	40
84742465550	2019-11-13 07:12:02	84742465550	s	incoming	Local/s@incoming-00011170;2	Dial	2
84742465550	2019-11-13 07:12:02	84742465550	909800	incoming	DAHDI/i1/84742465550-139e5	Dial	43
84742465550	2019-11-13 07:12:48	84742465550	s	incoming	Local/s@incoming-00011174;2	Dial	2
84742465550	2019-11-13 07:12:48	84742465550	909800	incoming	DAHDI/i1/84742465550-139e6	Dial	43
84742465550	2019-11-13 07:13:34	84742465550	s	incoming	Local/s@incoming-00011178;2	Dial	3
84742465550	2019-11-13 07:13:34	84742465550	909800	incoming	DAHDI/i1/84742465550-139e7	Dial	43
84742465550	2019-11-13 07:14:20	84742465550	s	incoming	Local/s@incoming-0001117c;2	Dial	2
84742465550	2019-11-13 07:14:20	84742465550	909800	incoming	DAHDI/i1/84742465550-139e8	Dial	43
84742319506	2019-11-13 08:04:38	84742319506	s	incoming	Local/s@incoming-00011180;2	Dial	2
