MIMEI;LW_POSTOFFICE_ID;ID;LW_CHK_SERVICECHARGE
#860712033907576;398032;9;1
#862258038315660;398001;22;1
#860712033904185;399081;295;1
#860712033911271;398024;300;1
#860712033900720;398046;302;0
#860712033895748;398050;303;0
#860712033904672;399770;304;0
#860712033900704;399540;305;1
#860712033902973;399370;306;1
#860712033902460;399053;307;1
#860712033899872;399610;308;1
#860712033904011;398024;403;1
#860712033915991;398026;404;1
#860712033908954;398026;408;1
#860712033897868;398024;409;1
#860712033895847;398024;410;1
#860712033910695;398024;406;0
#860712033900811;398046;412;0
#860712033903948;398513;413;1
#860712033912915;398510;414;1
#860712033898999;398503;416;1
#860712033915033;398007;417;1
#860712033900910;399612;421;1
#860712033915504;398524;423;1
#860712033915504;398002;424;0
#860712033904169;398002;425;1
#860712033907832;398042;430;1
#860712033896027;398035;431;1
#860712033904706;398550;432;1
#860712033908574;398042;433;1
#860712033900092;399610;434;1
#860712033900787;399613;426;1
#860712033903625;399610;427;1
#860712033900761;399626;437;1
#860712033896225;398042;438;1
#860712033899807;399450;428;1
#860712033895912;399645;439;1
#860712033895698;398530;441;1
#860712033916874;398524;442;1
#860712033897512;398501;443;1
#860712033900951;399050;445;1
#860712033906388;398046;446;1
#860712033906651;398046;447;0
#860712033898304;399450;449;1
#860712033903286;398046;450;1
#860712033916528;398503;429;1
#860712033915728;398046;451;1
#860712033899856;399450;452;1
#860712033903914;398024;324;0
#860712033903435;398020;464;1
#860712033922302;398020;465;1
#860712033908897;398007;466;1
#860712033895763;398035;467;1
#860712033913434;398050;468;1
#860712033906099;399050;475;0
#860712033915819;399059;476;1
#860712033898379;399431;477;1
#860712033909986;399075;478;1
#860712033903666;398524;482;1
#860712033911495;398046;483;1
#860712033904045;398050;488;1
#860712033909697;398002;480;1
#860712033907733;398050;489;1
#860712033916130;398007;530;1
#860712033913038;398007;531;0
#860712033899609;398036;490;1
#860712033915082;398007;532;1
#860712033895490;398058;503;1
#860712033903617;399085;548;1
#860712033899096;398058;505;1
#860712033903724;398024;534;1
#860712033912733;398516;549;1
#860712033895813;398024;535;1
#860712033898569;399053;550;1
